date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2019-03-28,CIN,PIT,"W,5-3",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,.000,.000,.000,3,1.04,-0.109,1.10,-0.07%,-1.26,RF
2019-03-31,CIN,PIT,"L,0-5",4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.000,.125,.000,.125,3,.84,-0.048,.93,-0.03%,-0.70,RF
2019-04-01,CIN,MIL,"L,3-4",5,4,0,1,1,0,0,2,1,0,1,0,0,0,0,1,0,0,.091,.231,.182,.413,3,2.36,-0.101,2.52,-0.07%,0.04,RF
2019-04-02,CIN,MIL,"L,3-4",4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.200,.294,.267,.561,3,1.16,0.089,1.22,0.06%,0.77,RF
2019-04-03,CIN,MIL,"L,0-1",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.188,.278,.250,.528,8,2.46,-0.071,2.40,-0.04%,-0.25,PH
2019-04-04,CIN,PIT,"L,0-2",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.150,.227,.200,.427,3,1.13,-0.113,.99,-0.06%,-0.81,RF
2019-04-05,CIN,PIT,"L,0-2",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.125,.192,.167,.359,3,.85,-0.122,.71,-0.06%,-1.14,RF
2019-04-06,CIN,PIT,"L,5-6",4,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.143,.200,.179,.379,3,1.12,0.027,.89,0.01%,0.55,RF
2019-04-07,CIN,PIT,"L,5-7",2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,.133,.188,.167,.354,2,.89,-0.034,.66,-0.01%,-0.33,RF
2019-04-11,CIN,MIA,"W,5-0",4,4,0,1,1,0,0,2,0,0,2,0,0,0,0,0,1,0,.147,.194,.206,.400,3,.84,0.077,.59,0.03%,1.10,RF
2019-04-13,CIN,STL,"W,5-2",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.132,.175,.184,.359,3,.92,-0.117,.73,-0.06%,-1.33,RF
2019-04-14,CIN,STL,"L,5-9",5,5,1,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,.163,.200,.302,.502,3,.53,0.005,.47,0.00%,0.30,RF
2019-04-15,CIN,LAD,"L,3-4",4,4,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.191,.224,.383,.607,3,1.72,0.128,1.27,0.06%,1.56,RF
2019-04-16,CIN,LAD,"L,1-6",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.176,.208,.353,.560,4,.66,-0.070,.45,-0.03%,-0.82,RF
2019-04-17,CIN,LAD,"L,2-3",4,4,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,.182,.211,.345,.556,2,1.69,0.112,1.04,0.04%,1.08,RF
2019-04-18,CIN,SDP,"W,4-1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.179,.207,.339,.546,4,.11,-0.003,.06,0.00%,-0.16,PH RF
2019-04-19,CIN,SDP,"W,3-2",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.183,.210,.333,.543,3,1.64,-0.107,1.00,-0.04%,-0.30,RF
2019-04-20,CIN,SDP,"W,4-2",4,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.175,.197,.317,.514,3,.94,-0.067,.63,-0.03%,-0.83,RF
2019-04-21,CIN,SDP,"L,3-4",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.164,.186,.299,.484,3,.63,-0.065,.45,-0.03%,-0.55,RF
2019-04-23,CIN,ATL,"W,7-6",5,4,1,2,0,0,1,3,0,0,0,0,0,1,0,0,0,0,.183,.200,.352,.552,4,1.02,0.183,.71,0.08%,1.87,RF
2019-04-24,CIN,ATL,"L,1-3",4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.200,.215,.360,.575,4,1.43,-0.034,1.03,-0.01%,-0.29,RF
2019-04-25,CIN,ATL,"W,4-2",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.190,.205,.342,.547,4,.88,-0.062,.58,-0.03%,-0.99,RF
2019-04-26,CIN,STL,"W,12-1",5,5,2,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,.202,.216,.381,.597,4,.34,0.014,.29,0.01%,2.22,RF
2019-04-27,CIN,STL,"L,3-6",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.205,.217,.375,.592,4,.99,-0.019,.96,-0.01%,-0.22,RF
2019-04-28,CIN,STL,"L,2-5",4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.198,.219,.363,.581,4,.90,-0.052,.76,-0.03%,-0.73,RF
2019-04-29,CIN,NYM,"W,5-4",5,4,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,.200,.228,.368,.596,5,1.09,-0.032,.73,-0.01%,-0.17,RF
2019-04-30,CIN,NYM,"L,3-4",5,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,.192,.226,.354,.580,4,1.34,-0.075,.99,-0.03%,-0.29,RF
2019-05-01,CIN,NYM,"W,1-0",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.184,.218,.340,.558,4,1.72,-0.169,1.09,-0.06%,-1.21,RF
2019-05-02,CIN,NYM,"L,0-1",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.178,.211,.327,.538,4,1.90,-0.205,1.30,-0.08%,-1.00,RF
2019-05-03,CIN,SFG,"L,11-12",6,5,3,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,.188,.225,.330,.555,4,1.03,0.100,.64,0.04%,1.10,RF
2019-05-04,CIN,SFG,"W,9-2",4,4,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,1,.207,.242,.371,.613,4,.60,0.053,.35,0.02%,1.11,RF
2019-05-05,CIN,SFG,"L,5-6",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.205,.240,.368,.608,4,1.43,-0.037,.86,-0.01%,-0.18,PH RF
2019-05-06,CIN,SFG,"W,12-4",5,3,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.208,.254,.367,.621,4,.28,0.006,.15,0.00%,0.68,RF
2019-05-07,CIN,OAK,"L,0-2",3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.205,.256,.361,.616,4,.92,-0.028,.53,-0.01%,-0.36,RF
