date_game,team_ID,opp_ID,game_result,days_rest,IP,H,R,ER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,strikes_looking,strikes_swinging,inplay_gb_total,inplay_fb_total,inplay_ld,inplay_pu,inplay_unk,game_score,inherited_runners,inherited_score,SB,CS,pickoffs,AB,2B,3B,IBB,GIDP,SF,ROE,leverage_index_avg,wpa_def,cwpa_def,re24_def
2018-09-16,LAD,STL,"L,0-5",3,0.2,0,0,0,0,0,0,0,3.00,2,6,5,2,1,1,1,0,1,0,,2,0,0,0,0,2,0,0,0,0,0,0,.78,0.037,0.08%,0.88
2018-09-21,LAD,SDP,"L,3-5",4,1.0,0,0,0,1,0,0,0,2.77,4,4,3,0,0,2,1,0,1,0,,2,0,0,0,0,3,0,0,1,0,0,0,.28,0.025,0.04%,1.95
2018-09-26,LAD,ARI,"L,2-7",4,1.0,0,0,0,1,0,0,0,2.57,3,14,7,4,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.03,0.001,0.00%,0.51
2018-05-12,LAD,CIN,"L,3-5",99,1.1,1,0,0,0,1,0,0,0.00,6,30,24,7,2,2,3,2,0,0,,1,0,0,0,0,6,0,0,0,0,0,1,.64,0.057,0.02%,0.78
2018-05-13,LAD,CIN,"L,3-5",0,0.1,2,2,2,0,1,1,0,10.80,3,9,6,2,2,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.35,-0.149,-0.04%,-1.90
2018-05-15,LAD,MIA,"L,2-4",1,1.0,0,0,0,0,0,0,0,6.75,3,12,7,3,1,1,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.07,0.005,0.00%,0.45
2018-05-30,LAD,PHI,"W,8-2",14,1.0,2,1,1,0,2,0,1,7.36,6,30,20,5,6,2,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.02,0.001,0.00%,-0.53
2018-06-08,LAD,ATL,"W,7-3",8,0.2,3,1,1,1,0,0,0,8.31,6,24,12,3,1,1,4,1,0,0,,0,0,0,0,0,5,2,0,0,0,0,0,.77,-0.137,-0.09%,-1.73
2018-08-24,LAD,SDP,"W,11-1",76,1.0,0,0,0,0,2,0,0,6.75,3,12,9,3,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.47
2018-08-28,LAD,TEX,"W,8-4",3,1.0,1,0,0,0,1,0,0,5.68,4,21,17,3,3,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.12,0.009,0.01%,0.56
2018-09-04,LAD,NYM,"W,11-4",6,1.0,0,0,0,0,1,0,0,4.91,3,11,7,2,2,0,2,0,1,0,,3,0,0,0,0,3,0,0,0,0,0,0,.17,0.013,0.02%,2.30
2018-09-05,LAD,NYM,"L,3-7",0,1.0,0,0,0,0,0,0,1,4.32,3,8,4,2,0,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.20,0.007,0.01%,0.47
2018-09-08,LAD,COL,"L,2-4",2,1.0,0,0,0,0,0,0,0,3.86,3,12,9,1,2,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.20,0.015,0.03%,0.57
2018-09-10,LAD,CIN,"L,6-10",1,1.1,1,0,0,0,0,0,0,3.38,5,20,13,4,0,1,4,1,1,0,,2,0,0,0,0,5,1,0,0,0,0,0,.27,0.027,0.04%,0.99
2018-09-12,LAD,CIN,"W,8-1",1,0.2,1,0,0,0,1,0,0,3.18,3,11,8,2,1,0,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.19,0.004,0.01%,0.27
2018-09-16,LAD,STL,"L,0-5",3,0.2,0,0,0,0,0,0,0,3.00,2,6,5,2,1,1,1,0,1,0,,2,0,0,0,0,2,0,0,0,0,0,0,.78,0.037,0.08%,0.88
2018-09-21,LAD,SDP,"L,3-5",4,1.0,0,0,0,1,0,0,0,2.77,4,4,3,0,0,2,1,0,1,0,,2,0,0,0,0,3,0,0,1,0,0,0,.28,0.025,0.04%,1.95
2018-09-26,LAD,ARI,"L,2-7",4,1.0,0,0,0,1,0,0,0,2.57,3,14,7,4,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.03,0.001,0.00%,0.51
2018-05-12,LAD,CIN,"L,3-5",99,1.1,1,0,0,0,1,0,0,0.00,6,30,24,7,2,2,3,2,0,0,,1,0,0,0,0,6,0,0,0,0,0,1,.64,0.057,0.02%,0.78
2018-05-13,LAD,CIN,"L,3-5",0,0.1,2,2,2,0,1,1,0,10.80,3,9,6,2,2,0,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.35,-0.149,-0.04%,-1.90
2018-05-15,LAD,MIA,"L,2-4",1,1.0,0,0,0,0,0,0,0,6.75,3,12,7,3,1,1,2,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.07,0.005,0.00%,0.45
2018-05-30,LAD,PHI,"W,8-2",14,1.0,2,1,1,0,2,0,1,7.36,6,30,20,5,6,2,1,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.02,0.001,0.00%,-0.53
2018-06-08,LAD,ATL,"W,7-3",8,0.2,3,1,1,1,0,0,0,8.31,6,24,12,3,1,1,4,1,0,0,,0,0,0,0,0,5,2,0,0,0,0,0,.77,-0.137,-0.09%,-1.73
2018-08-24,LAD,SDP,"W,11-1",76,1.0,0,0,0,0,2,0,0,6.75,3,12,9,3,3,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.00,0.000,0.00%,0.47
2018-08-28,LAD,TEX,"W,8-4",3,1.0,1,0,0,0,1,0,0,5.68,4,21,17,3,3,2,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.12,0.009,0.01%,0.56
2018-09-04,LAD,NYM,"W,11-4",6,1.0,0,0,0,0,1,0,0,4.91,3,11,7,2,2,0,2,0,1,0,,3,0,0,0,0,3,0,0,0,0,0,0,.17,0.013,0.02%,2.30
2018-09-05,LAD,NYM,"L,3-7",0,1.0,0,0,0,0,0,0,1,4.32,3,8,4,2,0,2,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.20,0.007,0.01%,0.47
2018-09-08,LAD,COL,"L,2-4",2,1.0,0,0,0,0,0,0,0,3.86,3,12,9,1,2,1,2,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.20,0.015,0.03%,0.57
2018-09-10,LAD,CIN,"L,6-10",1,1.1,1,0,0,0,0,0,0,3.38,5,20,13,4,0,1,4,1,1,0,,2,0,0,0,0,5,1,0,0,0,0,0,.27,0.027,0.04%,0.99
2018-09-12,LAD,CIN,"W,8-1",1,0.2,1,0,0,0,1,0,0,3.18,3,11,8,2,1,0,2,1,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.19,0.004,0.01%,0.27
2018-09-16,LAD,STL,"L,0-5",3,0.2,0,0,0,0,0,0,0,3.00,2,6,5,2,1,1,1,0,1,0,,2,0,0,0,0,2,0,0,0,0,0,0,.78,0.037,0.08%,0.88
2018-09-21,LAD,SDP,"L,3-5",4,1.0,0,0,0,1,0,0,0,2.77,4,4,3,0,0,2,1,0,1,0,,2,0,0,0,0,3,0,0,1,0,0,0,.28,0.025,0.04%,1.95
2018-09-26,LAD,ARI,"L,2-7",4,1.0,0,0,0,1,0,0,0,2.57,3,14,7,4,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,1,0,0,.03,0.001,0.00%,0.51
2015-06-05,OAK,BOS,"L,2-4",99,2.0,1,0,0,0,1,0,0,0.00,6,28,18,6,3,4,1,0,0,0,,0,0,0,0,0,6,0,0,0,1,0,0,.32,0.040,0.01%,1.04
2015-06-07,OAK,BOS,"L,4-7",1,0.1,0,0,0,0,0,0,0,0.00,1,4,3,1,0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,.20,0.005,0.00%,0.33
2015-06-09,OAK,TEX,"L,1-2",1,1.0,0,0,0,0,0,0,0,0.00,3,8,6,2,0,2,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.47,0.035,0.01%,0.47
2015-06-10,OAK,TEX,"W,5-4",0,2.1,0,0,0,2,3,0,0,0.00,8,35,19,9,3,1,2,1,0,0,,2,0,0,0,0,6,0,0,0,0,0,0,.72,0.095,0.01%,1.37
2015-08-15,OAK,BAL,"L,3-4",65,0.2,1,1,1,0,0,1,0,1.42,3,14,10,1,2,1,2,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.81,-0.363,-0.01%,-0.61
2015-08-17,OAK,BAL,"L,2-4",1,1.0,0,0,0,0,0,0,0,1.23,4,15,11,2,0,2,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,1,.34,0.014,0.00%,0.50
