date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2018-03-29,SEA,CLE,"W,2-1",3,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.333,2.333,6,.51,0.074,.47,0.04%,1.12,RF
2018-03-31,SEA,CLE,"L,5-6",4,3,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,.667,.714,1.333,2.048,6,1.29,0.053,1.29,0.03%,0.86,RF
2018-04-01,SEA,CLE,"W,5-4",4,2,1,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,.625,.727,1.500,2.227,4,1.49,0.165,1.43,0.10%,1.88,RF
2018-04-03,SEA,SFG,"W,6-4",5,5,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,.462,.563,1.000,1.563,4,.68,0.095,.67,0.06%,0.40,RF
2018-04-04,SEA,SFG,"L,1-10",4,2,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.467,.600,.933,1.533,4,.51,0.032,.50,0.02%,0.57,RF
2018-04-05,SEA,MIN,"L,2-4",5,5,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,.350,.480,.700,1.180,4,1.33,-0.031,1.30,-0.02%,0.11,RF
2018-04-07,SEA,MIN,"W,11-4",5,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.333,.467,.625,1.092,4,.66,-0.036,.62,-0.02%,-0.11,RF
2018-04-09,SEA,KCR,"L,0-10",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.296,.441,.556,.997,4,.43,0.010,.42,0.01%,-0.12,RF
2018-04-10,SEA,KCR,"W,8-3",5,4,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,.290,.410,.516,.926,4,.93,0.030,.83,0.02%,-0.76,RF
2018-04-11,SEA,KCR,"W,4-2",4,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.273,.419,.485,.903,4,1.39,0.022,1.35,0.01%,0.26,RF
2018-04-13,SEA,OAK,"W,7-4",4,4,1,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,.297,.426,.568,.993,4,2.09,0.540,2.22,0.35%,2.83,RF
2018-04-14,SEA,OAK,"W,10-8",5,5,1,2,0,0,1,3,0,0,2,0,0,0,0,0,0,0,.310,.423,.619,1.042,6,1.06,0.139,1.12,0.09%,1.00,RF
2018-04-15,SEA,OAK,"L,1-2",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.289,.400,.578,.978,6,1.02,-0.079,1.16,-0.05%,-0.53,RF
2018-04-16,SEA,HOU,"W,2-1",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.271,.379,.542,.921,6,.79,-0.059,.93,-0.04%,-0.55,RF
2018-04-17,SEA,HOU,"L,1-4",3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.255,.361,.510,.870,6,.84,-0.063,1.01,-0.05%,-0.53,RF
2018-04-18,SEA,HOU,"L,1-7",3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.259,.359,.500,.859,6,.79,0.028,.93,0.02%,0.03,RF
2018-04-19,SEA,HOU,"L,2-9",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.259,.353,.483,.836,6,.41,0.000,.47,0.00%,-0.35,RF
2018-04-20,SEA,TEX,"W,6-2",5,4,1,3,1,0,1,2,1,0,0,0,0,0,0,0,0,1,.290,.384,.565,.948,6,1.11,0.213,1.11,0.13%,1.41,RF
2018-04-21,SEA,TEX,"W,9-7",4,3,1,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,.292,.377,.600,.977,6,1.03,0.046,1.05,0.03%,0.71,RF
2018-04-22,SEA,TEX,"L,4-7",5,5,1,3,2,0,1,3,0,0,1,0,0,0,0,0,0,0,.314,.390,.671,1.062,2,1.11,0.258,1.19,0.17%,2.73,CF
2018-04-23,SEA,CHW,"L,4-10",4,4,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,.324,.395,.716,1.112,6,.15,-0.005,.15,0.00%,0.81,RF
2018-04-24,SEA,CHW,"W,1-0",4,4,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,.321,.389,.692,1.081,6,1.03,0.054,.95,0.03%,0.23,RF
2018-04-25,SEA,CHW,"W,4-3",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.305,.372,.659,1.031,6,2.04,-0.218,2.01,-0.13%,-1.97,RF
2018-04-26,SEA,CLE,"W,5-4",4,3,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,.294,.367,.635,1.003,6,.76,-0.037,.78,-0.02%,-1.01,RF
2018-04-27,SEA,CLE,"L,5-6",4,3,2,2,1,0,1,2,1,0,1,0,0,0,0,0,0,0,.307,.382,.682,1.064,6,.26,0.044,.28,0.03%,2.13,RF
2018-04-28,SEA,CLE,"W,12-4",5,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.293,.374,.652,1.026,6,.16,-0.003,.17,0.00%,-0.85,RF
2018-04-29,SEA,CLE,"W,10-4",5,5,3,3,0,1,1,1,0,0,1,0,0,0,0,0,0,0,.309,.384,.701,1.085,6,.54,0.067,.60,0.04%,1.77,RF
2018-05-01,SEA,OAK,"W,6-3",4,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.303,.388,.687,1.075,6,.71,0.014,.88,0.01%,0.13,RF
2018-05-02,SEA,OAK,"L,2-3",4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.301,.383,.670,1.053,5,1.69,-0.149,2.17,-0.12%,-0.81,RF
2018-05-03,SEA,OAK,"W,4-1",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.299,.379,.654,1.033,5,.55,-0.014,.69,-0.01%,0.04,RF
2018-05-04,SEA,LAA,"L,0-5",3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.300,.378,.645,1.023,6,.79,-0.020,1.12,-0.02%,-0.21,RF
2018-05-05,SEA,LAA,"W,9-8",6,5,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,.296,.376,.635,1.011,2,1.28,-0.003,1.75,0.00%,0.12,RF
2018-05-06,SEA,LAA,"L,2-8",4,3,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.297,.380,.627,1.007,6,.66,-0.045,.91,-0.04%,0.25,RF
2018-05-08,SEA,TOR,"W,5-0",4,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,.289,.369,.612,.980,6,.64,-0.053,.73,-0.04%,-1.12,RF
2018-05-09,SEA,TOR,"L,2-5",4,1,0,1,1,0,0,1,3,0,0,0,0,0,0,0,1,0,.295,.386,.623,1.009,5,1.01,0.192,1.22,0.14%,1.92,RF
2018-05-10,SEA,TOR,"W,9-3",6,6,0,2,0,0,0,1,0,0,2,0,0,0,0,0,1,0,.297,.384,.609,.993,2,.49,0.021,.57,0.01%,0.57,RF
2018-05-12,SEA,DET,"L,3-4",4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.290,.381,.595,.976,5,1.41,-0.098,1.61,-0.07%,-0.41,RF
2018-05-12,SEA,DET,"W,9-5",5,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.294,.381,.588,.969,2,1.33,-0.105,1.50,-0.07%,-0.71,RF
2018-05-13,SEA,DET,"L,4-5",5,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.293,.382,.579,.960,6,1.47,0.006,1.76,0.00%,0.45,RF
2018-05-14,SEA,MIN,"W,1-0",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.285,.373,.563,.935,3,1.28,-0.163,1.48,-0.11%,-1.44,RF
2018-05-15,SEA,TEX,"W,9-8",6,5,1,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0,.295,.383,.577,.960,3,1.22,0.196,1.42,0.14%,2.63,RF
2018-05-16,SEA,TEX,"L,1-5",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.294,.380,.569,.949,3,.72,0.023,.87,0.02%,-0.10,RF
2018-05-17,SEA,DET,"L,2-3",4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,.293,.377,.561,.938,3,1.04,-0.040,1.20,-0.03%,-0.07,RF
2018-05-18,SEA,DET,"W,5-4",4,4,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.292,.374,.559,.933,3,1.30,0.170,1.50,0.12%,0.50,RF
2018-05-19,SEA,DET,"W,7-2",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.291,.372,.552,.923,3,.57,-0.025,.66,-0.02%,-0.61,RF
2018-05-20,SEA,DET,"W,3-2",4,3,1,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,.298,.379,.571,.951,3,1.19,0.501,1.46,0.37%,1.81,RF
2018-05-22,SEA,OAK,"W,3-2",2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.296,.381,.568,.949,3,.74,0.033,1.05,0.03%,0.28,RF
2018-05-24,SEA,OAK,"L,3-4",4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,.291,.378,.558,.936,3,1.78,-0.219,2.53,-0.19%,-1.15,RF
2018-05-25,SEA,MIN,"W,2-1",3,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.291,.377,.554,.932,3,1.31,0.115,1.59,0.08%,0.33,RF
2018-05-26,SEA,MIN,"W,4-3",5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,.285,.373,.542,.915,3,1.99,-0.202,2.46,-0.15%,-1.19,RF
2018-05-27,SEA,MIN,"W,3-1",4,3,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.280,.371,.533,.904,3,1.65,-0.093,2.08,-0.07%,-0.92,RF
2018-05-28,SEA,TEX,"W,2-1",4,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.280,.369,.527,.896,3,.90,0.004,1.15,0.00%,-0.13,RF
2018-05-29,SEA,TEX,"L,5-9",5,5,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,.277,.365,.524,.888,3,1.39,-0.019,1.77,-0.02%,-0.02,CF RF
2018-05-30,SEA,TEX,"L,6-7",5,5,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.276,.361,.520,.882,3,1.31,-0.013,1.72,-0.01%,0.10,RF
2018-05-31,SEA,TEX,"W,6-1",4,4,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,.270,.355,.510,.865,3,.75,0.012,.99,0.01%,0.18,RF
2018-06-01,SEA,TBR,"W,4-3",6,3,1,1,0,0,1,1,3,1,1,0,0,0,0,0,0,0,.271,.363,.522,.885,5,1.40,0.354,1.94,0.29%,1.02,RF
2018-06-02,SEA,TBR,"W,3-1",4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.275,.365,.522,.887,3,.94,-0.015,1.26,-0.01%,-0.08,RF
2018-06-03,SEA,TBR,"W,2-1",4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.270,.359,.512,.871,3,1.25,-0.130,1.65,-0.10%,-1.10,RF
2018-06-05,SEA,HOU,"W,7-1",4,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.265,.353,.502,.856,3,.46,-0.030,.79,-0.03%,-0.83,RF
