date_game,team_ID,opp_ID,game_result,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GIDP,SB,CS,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,batting_order_position,leverage_index_avg,wpa_bat,cli_avg,cwpa_bat,re24_bat,pos_game
2018-03-29,LAD,SFG,"L,0-1",4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.333,.500,.333,.833,6,1.83,0.077,2.05,0.05%,0.18,LF
2018-03-30,LAD,SFG,"L,0-1",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.167,.286,.167,.452,6,.67,-0.050,.67,-0.03%,-0.29,LF
2018-03-31,LAD,SFG,"W,5-0",4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.200,.273,.200,.473,4,.43,0.038,.42,0.02%,0.03,LF
2018-04-02,LAD,ARI,"L,7-8",3,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.250,.357,.250,.607,6,1.13,-0.014,1.23,-0.01%,0.07,LF
2018-04-03,LAD,ARI,"L,1-6",4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.188,.278,.188,.465,5,.98,-0.104,1.00,-0.06%,-0.87,LF
2018-04-04,LAD,ARI,"L,0-3",3,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.222,.333,.278,.611,6,.44,0.034,.45,0.02%,0.38,LF
2018-04-07,LAD,SFG,"L,5-7",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.211,.318,.263,.581,9,2.66,-0.059,2.39,-0.03%,-0.45,PH
2018-04-08,LAD,SFG,"W,2-1",3,3,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.273,.360,.318,.678,6,1.53,0.174,1.37,0.09%,1.44,LF
2018-04-10,LAD,OAK,"W,4-0",4,4,1,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,.308,.379,.500,.879,5,.41,0.056,.33,0.03%,0.68,LF
2018-04-11,LAD,OAK,"L,6-16",5,5,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.355,.412,.548,.960,4,.32,-0.003,.26,0.00%,0.68,RF
2018-04-13,LAD,ARI,"L,7-8",5,5,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,.333,.385,.500,.885,3,1.17,-0.004,1.12,0.00%,0.45,LF
2018-04-14,LAD,ARI,"L,1-9",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.324,.375,.486,.861,9,.28,-0.007,.24,0.00%,-0.28,PH
2018-04-15,LAD,ARI,"W,7-2",4,3,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.300,.364,.450,.814,3,.43,0.015,.35,0.01%,-0.29,LF
2018-04-16,LAD,SDP,"W,10-3",2,2,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,.333,.391,.548,.939,5,1.55,0.144,1.23,0.07%,1.75,LF
2018-04-17,LAD,SDP,"W,7-3",4,3,1,1,0,0,1,3,0,0,1,0,0,1,0,0,0,0,.333,.380,.600,.980,3,.80,0.189,.67,0.10%,1.65,LF
2018-04-18,LAD,SDP,"W,13-4",4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.347,.389,.592,.981,5,.76,0.194,.66,0.10%,1.96,RF
2018-04-20,LAD,WSN,"L,2-5",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.340,.382,.580,.962,5,2.87,-0.073,2.51,-0.04%,-0.42,PH
2018-04-21,LAD,WSN,"W,4-0",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.321,.362,.547,.909,6,1.24,-0.091,1.03,-0.05%,-1.05,LF
2018-04-23,LAD,MIA,"W,2-1",3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.321,.361,.536,.896,3,1.01,-0.017,.89,-0.01%,-0.12,LF
2018-04-24,LAD,MIA,"L,2-3",4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.317,.354,.533,.887,5,1.43,-0.059,1.37,-0.03%,-0.24,LF
2018-04-25,LAD,MIA,"L,6-8",4,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.313,.348,.563,.910,5,.85,-0.049,.75,-0.03%,1.01,RF
2018-04-27,LAD,SFG,"L,4-6",2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.308,.352,.554,.906,4,.92,0.023,.85,0.01%,0.16,LF
2018-04-28,LAD,SFG,"W,15-6",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.318,.361,.561,.922,3,.01,0.000,.01,0.00%,0.20,PH
2018-04-28,LAD,SFG,"L,3-8",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.313,.356,.552,.908,9,.14,-0.004,.12,0.00%,-0.41,PH
2018-04-29,LAD,SFG,"L,2-4",4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.310,.351,.535,.886,4,.95,-0.082,.79,-0.04%,-0.58,LF
2018-04-30,LAD,ARI,"L,5-8",1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.319,.359,.542,.901,6,.84,0.045,.76,0.03%,0.87,PH LF
2018-05-01,LAD,ARI,"L,3-4",4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.303,.341,.513,.855,5,1.12,-0.114,.93,-0.06%,-0.82,RF
2018-05-02,LAD,ARI,"W,2-1",4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,.300,.337,.500,.837,5,.91,-0.155,.68,-0.07%,-1.84,RF
2018-05-03,LAD,ARI,"W,5-2",4,3,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,.313,.356,.518,.874,3,1.53,0.281,1.23,0.14%,1.82,RF
2018-05-04,LAD,SDP,"W,4-0",4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.310,.351,.506,.857,3,.59,0.040,.43,0.02%,0.30,RF
2018-05-05,LAD,SDP,"L,4-7",4,4,1,3,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.330,.367,.549,.917,5,1.12,0.195,.92,0.10%,1.75,RF
2018-05-06,LAD,SDP,"L,0-3",5,5,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.344,.379,.563,.941,3,.51,0.025,.36,0.01%,0.16,RF
2018-05-08,LAD,ARI,"L,5-8",6,6,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.353,.385,.569,.954,5,1.99,0.159,1.53,0.07%,0.68,RF
